Group.,Exp.,ACC,F1,AUC
Ⅺ,15,90.40±0.94 ,91.47±0.93 ,95.20±0.43 
Ⅻ,15,88.48±0.88 ,89.92±0.94 ,93.21±0.54 
XIII,15,69.99±3.13 ,78.87±1.66 ,77.70±1.70 
XIV,15,74.02±3.08 ,81.34±1.93 ,79.47±2.07 
XV,15,72.99±1.25 ,79.10±0.69 ,76.47±1.19 
